"ID";"Повна назва товару";"Ціна";"К-ть";"Розд. ціна";"Опт. ціна";"Націнка 15";"ID групи";"Штрих-код виробника";"Націнка 5";"Ціна 20";"Додатково"
"3407";"Контрацепти Contex Classic (3 шт)";"20,00";"84";"24,00";"22,00";"23,00";"128";"5060040300145";"21,00";"24,00";""
"3204";"Контрацепти Contex Extra Sensation (3 шт)";"20,00";"271";"24,00";"22,00";"23,00";"128";"5052197051476";"21,00";"24,00";""
"3408";"Контрацепти Contex Light (3 шт)";"20,00";"32";"24,00";"22,00";"23,00";"128";"5060040300114";"21,00";"24,00";""
"3205";"Контрацепти Contex Long Love (3 шт)";"20,00";"72";"24,00";"22,00";"23,00";"128";"5060040300107";"21,00";"24,00";""
"3322";"Контрацепти Durex (12 шт)";"80,00";"51";"96,00";"88,00";"92,00";"128";"";"84,00";"96,00";""
"5644";"Контрацепти Durex (12 шт) Classic";"80,00";"33";"96,00";"88,00";"92,00";"128";"5010232954243";"84,00";"96,00";""
"5647";"Контрацепти Durex (12 шт) Dual Extase";"80,00";"24";"96,00";"88,00";"92,00";"128";"5052197053432";"84,00";"96,00";""
"5645";"Контрацепти Durex (12 шт) Elite";"80,00";"32";"96,00";"88,00";"92,00";"128";"5010232954229";"84,00";"96,00";""
"5649";"Контрацепти Durex (12 шт) Extra Safe";"80,00";"36";"96,00";"88,00";"92,00";"128";"5010232954205";"84,00";"96,00";""
"5646";"Контрацепти Durex (12 шт) Intense";"80,00";"51";"96,00";"88,00";"92,00";"128";"5052197056037";"84,00";"96,00";""
"5648";"Контрацепти Durex (12 шт) Pleasuremax";"80,00";"5";"96,00";"88,00";"92,00";"128";"5038483204016";"84,00";"96,00";""
"3105";"Контрацепти Durex Classic (3 шт)";"20,00";"218";"32,00";"22,00";"23,00";"128";"5010232954250";"21,00";"24,00";""
"3203";"Контрацепти Durex Dual Extase (3 шт)";"20,00";"117";"38,00";"22,00";"23,00";"128";"5052197053401";"21,00";"24,00";""
"3470";"Контрацепти Durex Elite (3 шт)";"20,00";"69";"32,00";"22,00";"23,00";"128";"5010232954236";"21,00";"24,00";""
"4273";"Контрацепти Durex Intense (3 шт)";"20,00";"76";"38,00";"22,00";"23,00";"128";"5052197056068";"21,00";"24,00";""
"3202";"Контрацепти Durex Pleasure Max (3 шт)";"20,00";"154";"32,00";"22,00";"23,00";"128";"5038483203989";"21,00";"24,00";""
"3320";"Контрацепти Durex Real Feel(3 шт)";"20,00";"113";"38,00";"22,00";"23,00";"128";"5052197026689";"21,00";"24,00";""
"3619";"Крем-коректор тональний для проблемної шкіри №001";"33,10";"1";"36,45";"36,45";"38,10";"133";"4810151013264";"34,80";"39,75";""
"5459";"Крем-коректор тональний для проблемної шкіри №003";"33,10";"3";"36,45";"36,45";"38,10";"133";"4810151013288";"34,80";"39,75";""
"2048";"Кропива шампунь";"41,80";"4";"46,00";"46,00";"48,10";"6";"4810151012298";"43,90";"50,20";"юмікс"
"37";"Кропива-арганин  бальзам";"50,70";"3";"57,10";"55,80";"58,35";"7";"4810151018719";"53,25";"60,85";""
"1661";"Кропива-арганин  шампунь";"49,40";"3";"55,70";"54,35";"56,85";"6";"4810151018702";"51,90";"59,30";""
"373";"Леза ""Bic"" (5) 20 шт";"135,00";"3";"165,00";"148,50";"155,25";"174";"070330701502";"141,75";"162,00";""
"199";"Леза ""Gillette Rubie"" (5) 20 шт";"240,00";"20";"341,00";"264,00";"276,00";"174";"3014260408336";"252,00";"288,00";""
"200";"Леза ""Рапира"" (10шт/уп)";"2,90";"4";"95,00";"88,70";"92,75";"174";"4601236000718";"84,70";"96,75";""
"201";"Леза ""Спутник"" (5) 20 шт/12";"106,00";"3";"124,00";"116,65";"121,95";"174";"3014260409036";"111,35";"127,20";""
"3985";"Масажна щітка для душу (дерево)/12";"42,51";"17";"48,00";"46,80";"48,90";"122";"6928865025782";"44,65";"51,05";""
"5539";"Набір Gillette Mach3 (станок 1 кас. + гель для гол. 200 мл)/6";"132,00";"10";"150,00";"145,20";"151,80";"36";"7702018548712";"138,60";"158,40";""
"39";"Обліпиха  бальзам";"37,80";"20";"41,60";"41,60";"43,50";"7";"4810151011062";"39,70";"45,40";"юмікс"
"16";"Обліпиха шампунь";"41,80";"16";"46,00";"46,00";"48,10";"6";"4810151011055";"43,90";"50,20";"юмікс"
"5782";"Одеколон  ""For Men"" 80 мл/20";"9,50";"40";"10,50";"10,45";"10,95";"138";"4820010220252";"10,00";"11,40";""
